"","lon","lat","osm_id","code","fclass","name"
"1765",76.6881783,11.4079645,"393869370",2082,"school","Cliff School annexe"
"1914",77.6341637,13.0681804,"410860116",2082,"school","Rashtrotthana Vidya Kendra"
"1917",77.6350463,13.0989262,"410861199",2082,"school","Golden Chariot Public School"
"1924",77.6327504,13.0557708,"412681648",2082,"school","Manasa Public School"
"1932",76.7100466,11.41603,"413395250",2082,"school","School for the deaf"
"1976",80.2677285,13.0034528,"417776186",2082,"school","Olcott Memorial HSS"
"1977",77.6387738,13.0384174,"417894271",2082,"school","United Public School"
"1981",75.8510638,11.2826042,"418804553",2082,"school","Mayanad UP School"
"1985",77.6452875,13.0513406,"419770821",2082,"school","St Michael High School"
"1992",77.647491,13.0545448,"420087897",2082,"school","Teresa Bacq School"
"2017",72.5490839,23.047875,"429228993",2082,"school","St. Xavier's High School, Loyola Hall"
"2019",72.568061,23.0351192,"429229001",2082,"school","Mt. Carmel School"
"2025",72.556364,23.0483604,"429438524",2082,"school","Navrang School"
"2031",72.4575053,23.0419569,"429790285",2082,"school","DPS - Delhi Public School, Bopal"
"2032",72.5484846,23.0403655,"429790293",2082,"school","A. G. Teachers High School"
"2038",72.5766297,23.0329288,"429795958",2082,"school","Mount Carmel School, Khanpur"
"2044",75.8134625,11.2945982,"430553265",2082,"school","Silver Hills"
"2108",72.548795,23.0213639,"440320402",2082,"school","C. N. Vidyalaya, School"
"2122",77.6885541,13.0519542,"440668799",2082,"school","L.B.S. School"
"2140",77.2825109,30.5617261,"442662897",2082,"school","Army Public School"
"2143",77.6427683,13.0371969,"443615005",2082,"school","Yuvalok School"
"2144",77.6437784,13.0317498,"443615521",2082,"school","Sinclairs High School"
"2205",75.820766,30.8926694,"450591216",2082,"school","New Senior Secondary School"
"2296",75.8716447,30.8925567,"458762744",2082,"school","Govt. senior Model School"
"2313",80.2036936,13.0557176,"459641116",2082,"school","Karthikeyan Matriculation Higher Secondary School"
"2314",80.2036334,13.0542712,"459641978",2082,"school","LaClarence Matriculation Higher Secondary Schoolt"
"2321",80.1982863,13.0439197,"459652832",2082,"school","Thai Sathia School"
"2330",77.6037259,12.9678783,"459811952",2082,"school","Saint Anthony's Boys School"
"2331",77.6033897,12.9694218,"459811954",2082,"school","Sacred Hearts Girls School"
"2332",77.6017107,12.9702675,"459811969",2082,"school","Bishop Cottons Girls High School"
"2334",80.2044146,13.0577159,"459815445",2082,"school","General Chariappa School"
"2343",76.6297013,12.3342845,"465192715",2082,"school","Mysore West Lions Sevanikethan School"
"2346",76.6366858,12.3272782,"465192999",2082,"school","Ramakrishna Vidyashala"
"2347",76.6299481,12.3286366,"465195463",2082,"school","Nirmala Convent"
"2389",80.260959,13.0100808,"472788666",2082,"school","Shri Sankara Senior Secondary School"
"2391",80.2613841,13.0074771,"473396856",2082,"school","Starlight Abacus School"
"2408",75.6433611,31.3012875,"477141643",2082,"school","DPS"
"2412",75.7547305,31.2351876,"477141674",2082,"school",NA
"2413",75.7740906,31.1781104,"477141680",2082,"school","Divine"
"2420",75.8339674,30.9425636,"477193658",2082,"school","Green Land Public School"
"2434",77.123813,28.3022552,"477905057",2082,"school","Government Secondary School, Damdama"
"2458",77.0783203,28.4539934,"482664044",2082,"school","Stones2milestones"
"2479",77.5827808,34.1668983,"484248270",2082,"school","Moravian School"
"2501",78.1684363,34.0289871,"485617328",2082,"school",NA
"2532",77.6742721,33.8282593,"492413662",2082,"school",NA
"2666",78.4453558,17.4427279,"513424892",2082,"school","Gautham Model School"
"2678",77.7183757,12.9853135,"514307734",2082,"school","Gopalan International Schoool"
"2681",77.7187289,12.9953577,"515657622",2082,"school","Hoodi Primary School"
"2700",77.7167666,12.9934221,"518624061",2082,"school","Hoodi High School"
"2720",78.1420885,9.9296805,"519011096",2082,"school","Wakf Board College"
"2722",78.1477877,9.912678,"519011154",2082,"school","Thiagarajar College"
"2723",78.146526,9.9064636,"519011157",2082,"school","Sourashtra Girls Higher Secondary School"
"2725",78.1394621,9.9257407,"519011234",2082,"school","MAVMM Matriculation School"
"2729",77.5423272,12.9965228,"519549757",2082,"school","St Charles High School"
"2744",78.7836988,10.2358689,"522823643",2082,"school","Ulagappa Higher Secondary School"
"2746",78.8149123,10.2577297,"522866375",2082,"school","SKT Gandhi Higher Secondary School"
"2754",78.8134863,10.2508078,"523697145",2082,"school","SKT Primary School"
"2772",77.0510872,8.4908522,"527830360",2082,"school",NA
"2779",77.5442935,12.9885908,"529780984",2082,"school","Carmel High School"
"2780",77.5425855,12.9871857,"529781025",2082,"school","VVS Girls College"
"2834",76.2162954,10.337875,"538131069",2082,"school",NA
"2844",76.9598025,8.5216263,"538606605",2082,"school","Salvation Army Higher Secondary School"
"2845",76.9580795,8.5185922,"538798532",2082,"school","Nirmalabhavan HSS"
"2855",75.9304171,11.3186799,"539412613",2082,"school","VHSE & HSE School"
"2867",76.489426,32.3598212,"540021089",2082,"school","Government Primary School, Hilling"
"2869",76.5128192,32.3689055,"540031027",2082,"school","Government High School, Lamu"
"2898",76.6431092,12.2978617,"540654209",2082,"school","Government School;Raman IT"
"2902",76.7239037,32.044842,"540863319",2082,"school","Govt Senior Secondary School, Bir"
"2939",79.1297275,10.7786643,"542975336",2082,"school","Govt School for Blind"
"2945",76.3404236,11.070387,"543665316",2082,"school","Madrassa"
"2960",77.1808404,28.5978094,"545641483",2082,"school","Secondary School"
"2970",76.3390289,11.0600064,"548342231",2082,"school","AMLP School"
"2972",76.3454339,11.0751491,"548342645",2082,"school","GUPS Chalava"
"2976",77.0849922,31.7192978,"550107678",2082,"school","Government Middle School, Dyori"
"2992",76.3953388,30.3195521,"554658324",2082,"school","Budha Dal Public School"
"2993",76.3357545,11.0650391,"556700539",2082,"school","MES EDUCATIONALCOMPLEX"
"2994",76.3946076,11.001304,"556709848",2082,"school","Kalladi High School"
"3000",76.3756676,11.0364508,"559474626",2082,"school","Madrassa"
"3002",76.348395,11.0595072,"559519770",2082,"school","GOHSS Edathanattukara"
"3004",76.345609,11.0607477,"559519779",2082,"school","Madrassa"
"3005",76.3467831,11.0609971,"559519781",2082,"school","Victory College"
"3024",80.1416397,12.9426246,"560231368",2082,"school","NSN School"
"3031",76.4909477,32.1206802,"560418326",2082,"school","Government Middle School Bagoda"
"3040",76.4002639,32.1640208,"560440024",2082,"school","Government Senior Secondary School, Tang"
"3042",76.3814968,32.1757958,"560443052",2082,"school","Kendriya Vidyalaya"
"3082",76.8459333,31.5974483,"561089221",2082,"school","Government Senior Secondary School, Sidhyani"
"3083",76.8279239,31.6013502,"561090947",2082,"school","Government Middle School, Kalkhar"
"3120",75.9704818,30.837332,"567808521",2082,"school",NA
"3121",75.1043174,12.3065284,"567826506",2082,"school",NA
"3122",75.0930824,12.3117734,"567826643",2082,"school",NA
"3139",76.2728787,32.21065,"570710884",2082,"school","Government Primary School Maiti"
"3146",75.8660054,30.8477136,"571360987",2082,"school","Govt. Girls Sr. Sec"
"3159",76.157628,10.3750267,"572009784",2082,"school","Government Higher Secondary School"
"3160",77.5780313,13.0064539,"573333532",2082,"school","Stella Maris School"
"3201",80.1549784,12.5032154,"577339814",2082,"school","Govt Higher Secondary School, Pudhupattinam"
"3227",77.5994637,12.9430867,"579371985",2082,"school","Madrasa-e Arabiya"
"3263",79.8375198,11.9861795,"582987221",2082,"school","Last School"
"3284",76.9024047,31.5340116,"583530177",2082,"school","Anand Marg Public School"
"3295",76.8894558,31.5314167,"583540522",2082,"school","Government Middle School, Sundernagar"
"3305",76.885039,31.5210422,"583541991",2082,"school","Government Senior Secondary School, Sundernagar"
"3311",78.1010015,30.4540018,"583871504",2082,"school","Woodstock School"
"3320",77.1909497,28.5640001,"587754665",2082,"school","St Mary's School"
"3324",76.9480773,8.5347894,"588740474",2082,"school","Technical Higher Secondary School, Pattom"
"3339",77.2143968,28.5608316,"591430882",2082,"school","Father Agnel School"
"3341",79.1244736,10.7839452,"592944821",2082,"school","Shri Venkateshwara Matric. Higher Secondary School"
"3342",72.8291271,19.0545178,"593088335",2082,"school","St Stanislaus School"
"3343",77.6171575,13.1508901,"593132455",2082,"school","Stonehill International School"
"3347",76.55094,9.44509,"594866408",2082,"school","Sacred Heart Higher Sec Sch"
"3366",80.1368303,12.953827,"595654418",2082,"school","Government Boys Higher Secondary School"
"3367",80.1345334,12.9519873,"595655153",2082,"school","Lakshmi Ammal School"
"3368",80.1937294,13.060167,"595657131",2082,"school","Chinmaya Vidyalaya"
"3381",80.1873415,13.0474865,"595735861",2082,"school","St. John's Matriculation Higher Secondary School"
"3386",76.4282946,30.3146346,"596500680",2082,"school","Pax"
"3409",80.135299,12.9533188,"598059387",2082,"school","Government Girls Higher Secondary School"
"3412",77.5683395,13.0011737,"598212615",2082,"school","B. P. Indian"
"3418",77.5416305,13.0457661,"598947938",2082,"school","Father Mathews School"
"3458",76.9436154,8.4982947,"600882702",2082,"school","Holy Angels Convent"
"3459",76.945332,8.4996953,"600882703",2082,"school","St Joseph's School"
"3478",76.7035483,32.0394062,"603742541",2082,"school","Tibetan School"
"3502",75.5829436,32.254518,"605908625",2082,"school","primary school"
"3513",77.5621798,13.0092653,"608492745",2082,"school","Vani Vilas"
"3535",77.122304,28.5925928,"610885935",2082,"school","New delhi"
"3555",80.2088301,13.0735855,"612546126",2082,"school","Kanmani Montessori School"
"3558",80.2101068,13.0803366,"612556883",2082,"school","Anna Adharsh school"
"3567",80.2062046,13.0734099,"614436617",2082,"school","Ambal Metriculation School"
"3568",75.4335842,31.2094811,"615901643",2082,"school","Govt.Sr.Sec.School UGGI"
"3621",76.6149214,9.3847969,"622250817",2082,"school","Thottabhagam"
"3622",76.6124672,9.39997,"622250917",2082,"school","NSS High School"
"3623",76.6144413,9.39816,"622250924",2082,"school","NSS LP School"
"3624",76.578548,9.3972444,"622251022",2082,"school","Marthoma Residential School"
"3625",76.5747822,9.3859321,"622251037",2082,"school","SCS High School"
"3628",76.2931923,32.2760857,"622325152",2082,"school","Government Primary School Khadbai"
"3644",76.3961664,9.9469737,"622536440",2082,"school","St. George High School"
"3667",76.8761829,31.4006236,"626887525",2082,"school","Government Primary School, Nehar"
"3718",77.005252,31.3064367,"626971391",2082,"school","Government Primary School, Hadaboi"
"3726",77.0932378,31.248249,"627244361",2082,"school","Saraswati Vidya Mandir, Tattapani"
"3727",77.1003249,31.243402,"627244616",2082,"school","Government Primary School, Palyadh"
"3729",77.1216175,31.2449774,"627248212",2082,"school","Government Middle School, Sunni"
